pH,Temperature,Density,Colour,Grade
6.5,35,1.03,242,1
6.4,42,1.03,251,2
5.8,52,1.02,254,0
8.6,53,1.02,246,0
8.4,58,1.03,246,0
6.6,39,1.03,247,2
6.6,35,1.03,254,2
6.8,37,1.03,245,2
5.7,59,1.02,248,0
6.4,34,1.03,244,1
5.1,58,1.02,253,0
6.4,42,1.03,251,1
6.5,39,1.03,252,2
5.7,55,1.03,253,0
6.7,35,1.03,248,2
5.9,54,1.02,244,0
6.7,43,1.03,254,2
6.5,43,1.03,254,2
6.5,37,1.03,253,1
6.7,49,1.03,251,1
6.5,39,1.03,254,2
6.7,36,1.03,246,2
6.8,49,1.03,248,1
6.6,41,1.03,252,1
8.6,58,1.02,251,0
6.7,37,1.03,241,1
6.6,44,1.03,251,2
8.4,55,1.02,252,0
9.0,57,1.02,247,0
6.8,39,1.03,250,2
5.2,54,1.02,248,0
5.3,53,1.02,253,0
5.9,54,1.03,246,0
5.4,58,1.02,241,0
6.8,42,1.03,250,2
5.2,56,1.02,253,0
6.7,35,1.03,247,2
6.4,36,1.03,249,2
6.4,36,1.03,250,2
6.5,37,1.03,254,2
6.7,41,1.03,250,1
8.7,56,1.03,247,0
6.5,38,1.03,249,2
8.5,60,1.02,244,0
6.5,40,1.03,245,2
8.5,51,1.02,251,0
6.0,58,1.02,247,0
6.5,46,1.03,254,1
8.5,54,1.02,243,0
6.7,37,1.03,249,2
6.4,42,1.03,251,2
6.7,42,1.03,249,2
8.6,58,1.02,241,0
6.7,46,1.03,241,1
6.7,45,1.03,252,1
9.0,56,1.02,250,0
6.4,50,1.03,248,1
6.8,39,1.03,253,1
6.8,45,1.03,246,1
6.5,42,1.03,254,2
6.5,50,1.03,255,1
6.7,35,1.03,250,2
6.7,50,1.03,253,1
6.7,43,1.03,249,1
6.6,42,1.03,252,2
6.6,34,1.03,251,1
6.8,40,1.03,247,2
8.5,55,1.02,241,0
6.5,41,1.03,240,1
6.7,36,1.03,252,2
6.5,49,1.03,253,1
6.5,36,1.03,251,2
6.6,37,1.03,254,1
5.4,60,1.02,254,0
6.4,49,1.03,254,1
6.6,41,1.03,254,2
6.6,35,1.03,254,2
6.8,48,1.03,250,1
6.8,45,1.03,255,2
5.3,60,1.02,248,0
6.7,42,1.03,254,2
5.2,50,1.03,245,0
6.5,50,1.03,253,1
6.5,43,1.03,247,2
6.5,39,1.03,240,1
6.5,45,1.03,252,1
6.6,40,1.03,245,1
6.8,39,1.03,251,2
6.5,41,1.03,255,1
6.7,45,1.03,247,2
6.8,39,1.03,251,2
8.4,52,1.02,247,0
6.6,34,1.03,243,1
6.4,39,1.03,253,2
6.8,34,1.03,255,1
6.4,39,1.03,252,2
8.2,59,1.03,243,0
6.5,39,1.03,246,2
